##########################################################################################
################################ Unigram Term Frequency Table ############################
##########################################################################################


   TERM                         |      TERM FREQUENCY
   lips                         |         1
   lippspringe                  |         1
   lippmann                     |         1
   lippershey                   |         1
   lipoxygenases                |         1
   lipovans                     |         1
   lipoprotein                  |         1
   lipizzan                     |         1
   lipids                       |         1
   lipid                        |         1
   lipertis                     |         1
   lipemia                      |         1
   lipe                         |         1
   lipatti                      |         1
   lipase                       |         1
   lipara                       |         1
   lip-destruction              |         1
   lip                          |         1
   liotta                       |         1
   linwood                      |         1
   linvention                   |         1
   linux-based                  |         1
   lint                         |         1
   linsey                       |         1
   linobambaki                  |         1
   linnovation                  |         1
   linnemann                    |         1
   linnaean                     |         1
   linkages                     |         1
   linhart                      |         1
   linhai                       |         1
   lingfield                    |         1
   lingering                    |         1
   linflation                   |         1
   linferno                     |         1
   linez                        |         1
   linesegment                  |         1
   liners                       |         1
   linens                       |         1
   lineages                     |         1
   line-ups                     |         1
   line-type                    |         1
   line-tied                    |         1
   line-core                    |         1
   lindsay                      |         1
   lindley                      |         1
   lindisfarne                  |         1
   lindexation                  |         1
   linden                       |         1
   lindbergh                    |         1
   lindbeck                     |         1
   lindahl                      |         1
   lincke                       |         1
   linardwiechert               |         1
   linage                       |         1
   linacs                       |         1
   lina                         |         1
   limpt                        |         1
   limping                      |         1
   limpet                       |         1
   limp                         |         1
   limmortalit                  |         1
   limm                         |         1
   limestones                   |         1
   limes                        |         1
   limenitis                    |         1
   limelinden                   |         1
   limburg                      |         1
   limbum                       |         1
   limb-brightened              |         1
   lim                          |         1
   lily                         |         1
   lilly                        |         1
   lilij                        |         1
   lilienthal                   |         1
   lili                         |         1
   lilburne                     |         1
   lilar                        |         1
   lila                         |         1
   liking                       |         1
   likens                       |         1
   liken                        |         1
   like-charged                 |         1
   liiceanu                     |         1
   lignite-operated             |         1
   lignes                       |         1
   lightspeed                   |         1
   lightsaber                   |         1
   lightlike                    |         1
   lighting-up                  |         1
   lightimage                   |         1
   lighthill                    |         1
   lightfoot                    |         1
   lighter-coloured             |         1
   lightened                    |         1
   lightdark                    |         1
   lightcurve                   |         1
   lightand                     |         1
   light-time                   |         1
   light-seconds                |         1
   light-scattering             |         1
   light-rays                   |         1
   light-rail                   |         1
   light-proof                  |         1
   light-paintings              |         1
   light-like                   |         1
   light-hours                  |         1
   light-harvesting             |         1
   light-grade                  |         1
   light-filtering              |         1
   light-field                  |         1
   light-dispersing             |         1
   ligger                       |         1
   ligewere                     |         1
   ligeti                       |         1
   ligeois                      |         1
   ligebastognelige             |         1
   ligand-to-metal              |         1
   ligand                       |         1
   liga                         |         1
   lift-class                   |         1
   lifshitz                     |         1
   lifewhen                     |         1
   lifestyles                   |         1
   lifestyle-format             |         1
   lifestyle-degrading          |         1
   lifes                        |         1
   lifenew                      |         1
   lifeline                     |         1
   lifehad                      |         1
   lifeguard                    |         1
   lifefor                      |         1
   lifecycle                    |         1
   life-table                   |         1
   life-sustaining              |         1
   life-size                    |         1
   life-marks                   |         1
   life-enhancing               |         1
   life-dangerous               |         1
   life--eg                     |         1
   lieserl                      |         1
   lierta                       |         1
   lieder                       |         1
   liechtensteiners             |         1
   liebes                       |         1
   liebermann                   |         1
   lidya                        |         1
   lid                          |         1
   licky                        |         1
   licinius                     |         1
   lichtes                      |         1
   lichtenau                    |         1
   lichen-forming               |         1
   licentiousness               |         1
   licentia                     |         1
   licensees                    |         1
   licence-fee                  |         1
   libyan-egyptian              |         1
   liburnians                   |         1
   libun                        |         1
   libulan                      |         1
   libs                         |         1
   librettist                   |         1
   librating                    |         1
   librates                     |         1
   librate                      |         1
   libralisation                |         1
   libra                        |         1
   liborifest                   |         1
   libnter                      |         1
   libertatea                   |         1
   libertarian                  |         1
   libertads                    |         1
   libertador                   |         1
   libert                       |         1
   liberi                       |         1
   liberalizing                 |         1
   liberalized                  |         1
   liberalising                 |         1
   liberalise                   |         1
   liberalisations              |         1
   liberal-radical              |         1
   libellous                    |         1
   libelers                     |         1
   libation                     |         1
   libanomancy                  |         1
   libani                       |         1
   lib                          |         1
   liasides                     |         1
   liabilities                  |         1
   li-ion                       |         1
   li-2s                        |         1
   lhx2                         |         1
   lhotse                       |         1
   lhomme                       |         1
   lhexagone                    |         1
   lheureux                     |         1
   lher                         |         1
   lh2                          |         1
   lh                           |         1
   lgv                          |         1
   lglise                       |         1
   lgf                          |         1
   lgende                       |         1
   lgazi                        |         1
   lga                          |         1
   lfric                        |         1
   lfex                         |         1
   lezgis                       |         1
   lezgins                      |         1
   lezginka                     |         1
   lexxx                        |         1
   lexpress                     |         1
   lexical                      |         1
   lexica                       |         1
   lewi                         |         1
   levying                      |         1
   levunovo                     |         1
   levstik                      |         1
   levshin                      |         1
   levitzky                     |         1
   levitate                     |         1
   levitan                      |         1
   levison                      |         1
   levin                        |         1
   leviev                       |         1
   levi                         |         1
   levers                       |         1
   leveraging                   |         1
   leveraged                    |         1
   leverage                     |         1
   levenish                     |         1
   leveling                     |         1
   leveler                      |         1
   level3                       |         1
   levch                        |         1
   levasseur                    |         1
   levantines                   |         1
   levada                       |         1
   lettuce                      |         1
   lettre                       |         1
   letterlike                   |         1
   letterkenny                  |         1
   letterforms                  |         1
   lettera                      |         1
   letourneur                   |         1
   letos                        |         1
   lethbridge                   |         1
   lethally                     |         1
   letermes                     |         1
   lesund                       |         1
   lest                         |         1
   lesswind                     |         1
   lessing                      |         1
   lessens                      |         1
   lessening                    |         1
   less-viscous                 |         1
   less-extreme                 |         1
   less-educated                |         1
   less-dangerous               |         1
   leskovac                     |         1
   lesion                       |         1
   lescarbot                    |         1
   lesbians                     |         1
   lesage                       |         1
   lerwick                      |         1
   leroy                        |         1
   lermontov                    |         1
   leri                         |         1
   lequipe                      |         1
   leprosy                      |         1
   lepota                       |         1
   lepaute                      |         1
   lepage                       |         1
   lepa                         |         1
   leopolds                     |         1
   leopoldiii                   |         1
   leopoldi                     |         1
   leopards                     |         1
   leontyevich                  |         1
   leontios                     |         1
   leontiev                     |         1
   leontief                     |         1
   leonids                      |         1
   leonidovich                  |         1
   leonas                       |         1
   lentreprise                  |         1
   lentel                       |         1
   lensrentals                  |         1
   lens-shaped                  |         1
   lens-mount                   |         1
   lens-like                    |         1
   lenovo                       |         1
   lenoir                       |         1
   lennox                       |         1
   lenjak                       |         1
   leninsk                      |         1
   lenins                       |         1
   leniency                     |         1
   length-scales                |         1
   length-of-day                |         1
   lengi                        |         1
   lendava                      |         1
   lemur                        |         1
   lempa                        |         1
   lemons                       |         1
   lemonnier                    |         1
   lemmon                       |         1
   lemieux                      |         1
   lemesos                      |         1
   lematres                     |         1
   lemaire                      |         1
   lelpha                       |         1
   leloir                       |         1
   lektron                      |         1
   lejeune                      |         1
   leitz                        |         1
   leitkultur                   |         1
   leisurely                    |         1
   leisured                     |         1
   leipzighalle                 |         1
   leigh                        |         1
   leicestershire               |         1
   leibovitz                    |         1
   leibnitz                     |         1
   lehranstalt                  |         1
   lehr                         |         1
   lehenda                      |         1
   legumes                      |         1
   legon                        |         1
   legnyes                      |         1
   legislators                  |         1
   legislating                  |         1
   legibus                      |         1
   legged                       |         1
   legendre                     |         1
   legation                     |         1
   legalized                    |         1
   legalize                     |         1
   legalism                     |         1
   legal-trade                  |         1
   leg-spin                     |         1
   leftwing                     |         1
   lefts                        |         1
   leftright                    |         1
   leftism                      |         1
   left-side                    |         1
   left-leaning                 |         1
   left-bank                    |         1
   leffondrement                |         1
   lefficacit                   |         1
   lefebvre                     |         1
   leeway                       |         1
   leeds-based                  |         1
   leduc                        |         1
   leds                         |         1
   ledphoto-transistor          |         1
   ledges                       |         1
   ledesma                      |         1
   lectrum                      |         1
   lectrotechnique              |         1
   lectronique                  |         1
   lectricit                    |         1
   lecointe                     |         1
   lechfeld                     |         1
   lechem                       |         1
   lecchini                     |         1
   lecanomancy                  |         1
   leblanc                      |         1
   lebi                         |         1
   lebesgue                     |         1
   leberecht                    |         1
   lebens-geschichte            |         1
   leben                        |         1
   lebanese-syrian              |         1
   leavitt                      |         1
   leaved                       |         1
   leatherback                  |         1
   least-populous               |         1
   leases                       |         1
   learningincluding            |         1
   learjet                      |         1
   lear                         |         1
   leaned                       |         1
   leandro                      |         1
   leander                      |         1
   lean                         |         1
   leamington                   |         1
   leakagerings                 |         1
   leak-free                    |         1
   league-n                     |         1
   leafy                        |         1
   leaflet-dropping             |         1
   leafless                     |         1
   leaf-falling                 |         1
   leaf-cutting                 |         1
   leading-edge                 |         1
   leadacid                     |         1
   lead-lined                   |         1
   lead-in                      |         1
   leaching                     |         1
   le-de                        |         1
   lducation                    |         1
   ldeniz                       |         1
   lcrosss                      |         1
   lconomie                     |         1
   lcole                        |         1
   lc-39                        |         1
   lbvs                         |         1
   lbv                          |         1
   lbmi                         |         1
   lbc                          |         1
   lazzaro                      |         1
   lazutkin                     |         1
   lazur                        |         1
   lazuli                       |         1
   lazs                         |         1
   lazr                         |         1
   lazio                        |         1
   lazenby                      |         1
   lazarus                      |         1
   lazarsfeld                   |         1
   lazarists                    |         1
   lazarevich                   |         1
   lazar                        |         1
   layup                        |         1
   laypeople                    |         1
   layouts                      |         1
   lax                          |         1
   lawthe                       |         1
   lawsubject                   |         1
   lawsperhaps                  |         1
   lawsons                      |         1
   lawsonia                     |         1
   lawsand                      |         1
   lawren                       |         1
   lawhitton                    |         1
   lawhead                      |         1
   lawgivers                    |         1
   lawful                       |         1
   law-economy                  |         1
   law-court                    |         1
   lavre                        |         1
   lavo                         |         1
   lavish                       |         1
   laviolette                   |         1
   laviation                    |         1
   laveykin                     |         1
   laven                        |         1
   lavare                       |         1
   lavardn                      |         1
   lavani                       |         1
   lavalle                      |         1
   lava-covered                 |         1
   laurus                       |         1
   lauria                       |         1
   laurentides                  |         1
   laurentide                   |         1
   laurell                      |         1
   laurasian                    |         1
   launder                      |         1
   launchable                   |         1
   laughsgargles                |         1
   laughs                       |         1
   laugh                        |         1
   lauelangevin                 |         1
   lauda                        |         1
   latynina                     |         1
   latvian                      |         1
   latus                        |         1
   latulipe                     |         1
   lattices                     |         1
   latter-day                   |         1
   lattakia                     |         1
   latrna                       |         1
   latne                        |         1
   latna                        |         1
   latitudinally                |         1
   latio                        |         1
   latino                       |         1
   latinate                     |         1
   latinarum                    |         1
   latina                       |         1
   latin-derived                |         1
   latimer                      |         1
   latif                        |         1
   lathrop                      |         1
   lathams                      |         1
   latham                       |         1
   late-type                    |         1
   late-night                   |         1
   late-impact                  |         1
   late-classical               |         1
   late-april                   |         1
   late-antiquity               |         1
   late-20th-century-france     |         1
   late-18th                    |         1
   late-15th                    |         1
   latchup                      |         1
   latching                     |         1
   latch-up                     |         1
   lat                          |         1
   lastovo                      |         1
   lasta                        |         1
   last-quarter                 |         1
   lassurance                   |         1
   lassi                        |         1
   lassell                      |         1
   lasp                         |         1
   laskar                       |         1
   lasing                       |         1
   lashed                       |         1
   laser-plasma                 |         1
   laser-disc                   |         1
   laser-ablated                |         1
   laryngeals                   |         1
   laryngeal                    |         1
   lartisana                    |         1
   larry                        |         1
   larrive                      |         1
   larmonia                     |         1
   larisa                       |         1
   larijani                     |         1
   lari                         |         1
   largest-selling              |         1
   largest-capacity             |         1
   largescale                   |         1
   larges                       |         1
   larger-than-usual            |         1
   largentina                   |         1
   largemouth                   |         1
   large-sample                 |         1
   large-looking                |         1
   large-eddy                   |         1
   lares                        |         1
   lard                         |         1
   larch                        |         1
   lapti                        |         1
   laptev                       |         1
   lapses                       |         1
   laprouse                     |         1
   lapins                       |         1
   lapierre                     |         1
   lapajne                      |         1
   laozi                        |         1
   laouto                       |         1
   laotian                      |         1
   laodicea                     |         1
   lao                          |         1
   lanusse                      |         1
   lanthanum                    |         1
   lanse                        |         1
   lanowii                      |         1
   lannion                      |         1
   lanner                       |         1
   lanls                        |         1
   lanl                         |         1
   lankan                       |         1
   lanisotropie                 |         1
   lanis                        |         1
   laniakea                     |         1
   lani                         |         1
   lanhydrock                   |         1
   langus                       |         1
   languishment                 |         1
   languishing                  |         1
   languedoc                    |         1
   langue                       |         1
   language-sharing             |         1
   language-based               |         1
   langton                      |         1
   langseth                     |         1
   langs                        |         1
   langobardorum                |         1
   langlac                      |         1
   langham                      |         1
   langesund                    |         1
   langenhagen                  |         1
   landward                     |         1
   landstreitkrfte              |         1
   landsat-7                    |         1
   landsat                      |         1
   landry                       |         1
   landrace                     |         1
   landnmabk                    |         1
   landmasses                   |         1
   landless                     |         1
   landholdings                 |         1
   landholding                  |         1
   landholder                   |         1
   landfilled                   |         1
   land-power                   |         1
   land-owning                  |         1
   land-living                  |         1
   land-level                   |         1
   land-grant                   |         1
   land-fighting                |         1
   lancing                      |         1
   lancers                      |         1
   lancelot-grail               |         1
   lanaudire                    |         1
   lamya                        |         1
   lamy                         |         1
   lamtrus                      |         1
   lampsacus                    |         1
   lampblack                    |         1
   lamp-posts                   |         1
   lamotte                      |         1
   lamos                        |         1
   lamorna                      |         1
   lamont-doherty               |         1
   laminated                    |         1
   laments                      |         1
   lamentations                 |         1
   lamennais                    |         1
   lamellina                    |         1
   lame                         |         1
   lambourne                    |         1
   lambil                       |         1
   lambertian                   |         1
   lamban                       |         1
   lamas                        |         1
   lamarr                       |         1
   lamarke                      |         1
   lamar                        |         1
   lamanite                     |         1
   lam                          |         1
   lally                        |         1
   lalibela                     |         1
   lalgrie                      |         1
   lal                          |         1
   lakshmibai                   |         1
   lakota                       |         1
   lakonian                     |         1
   lakonia                      |         1
   lakhmids                     |         1
   lakewood                     |         1
   lakers                       |         1
   lakeland                     |         1
   lakedamn                     |         1
   lakedaimonios                |         1
   lakedaimonia                 |         1
   lakedaimona                  |         1
   lakdawalla                   |         1
   lakanal                      |         1
   laka                         |         1
   lajtha                       |         1
   lajta                        |         1
   lajovic                      |         1
   laity                        |         1
   lain                         |         1
   laila                        |         1
   laiki                        |         1
   laika                        |         1
   laibach                      |         1
   lahaina                      |         1
   lah                          |         1
   lagrappin                    |         1
   lagranges                    |         1
   lagrange-schweitzer          |         1
   lagoa                        |         1
   lagerfeld                    |         1
   lagann                       |         1
   lagaffe                      |         1
   lafrance                     |         1
   lafayette                    |         1
   laetitia                     |         1
   laemmle                      |         1
   lads                         |         1
   ladre                        |         1
   ladoosingh                   |         1
   ladoga                       |         1
   ladle                        |         1
   ladino                       |         1
   ladies                       |         1
   laderman                     |         1
   laden                        |         1
   lade                         |         1
   laddered                     |         1
   ladakh                       |         1
   lacquer-coated               |         1
   laconism                     |         1
   laconice                     |         1
   laconically                  |         1
   laconians                    |         1
   lackey                       |         1
   lachine                      |         1
   lacertae                     |         1
   lacedemonia                  |         1
   lacedaimonian                |         1
   lacedaemonii                 |         1
   lacedaemonian                |         1
   lacedaemones                 |         1
   laced                        |         1
   lacan                        |         1
   lacadmie                     |         1
   lac-saint-louis              |         1
   labrys                       |         1
   labourer                     |         1
   labour-market                |         1
   labors                       |         1
   laborious                    |         1
   laborer                      |         1
   labored                      |         1
   laboratoryspacecraft         |         1
   labneh                       |         1
   labiovelars                  |         1
   labinje                      |         1
   labials                      |         1
   laberge                      |         1
   labbaye                      |         1
   labatt                       |         1
   laayoune                     |         1
   laach                        |         1
   l3                           |         1
   l0                           |         1
   l-values                     |         1
   l-t-y                        |         1
   l-r                          |         1
   l-qamar                      |         1
   l-maut                       |         1
   l-city                       |         1
   l-band                       |         1
   l-410                        |         1
   l-3comtinsley                |         1
   l-39za                       |         1
   l-39                         |         1
   l-2000                       |         1
   kztrsasgi                    |         1
   kzseki                       |         1
   kzlklack                     |         1
   kzlca                        |         1
   kzl                          |         1
   kzai                         |         1
   kyzyl                        |         1
   kyustendil                   |         1
   kythera                      |         1
   kypros                       |         1
   kyprissos                    |         1
   kyprion                      |         1
   kyprianos                    |         1
   kyncl                        |         1
   kynance                      |         1
   kylie                        |         1
   kykkos                       |         1
   kyceiz                       |         1
   kyant                        |         1
   kwm                          |         1
   kwhm2year                    |         1
   kwhkw                        |         1
   kwe                          |         1
   kwajsokweso                  |         1
   kvyat                        |         1
   kvitya                       |         1
   kvin                         |         1
   kvass                        |         1
   kuznets                      |         1
   kuzminas                     |         1
   kuzgee                       |         1
   kuu                          |         1
   kutuzov                      |         1
   kutter                       |         1
   kuttara                      |         1
   kutowski                     |         1
   kutlu                        |         1
   kutha                        |         1
   kutateladze                  |         1
   kusulapuram                  |         1
   kusuh                        |         1
   kusturica                    |         1
   kustodiev                    |         1
   kussharo                     |         1
   kushnir                      |         1
   kushanas                     |         1
   kusch                        |         1
   kus                          |         1
   kurzer                       |         1
   kurun                        |         1
   kurukshetra                  |         1
   kuruc                        |         1
   kurtinaitis                  |         1
   kurtg                        |         1
   kurta                        |         1
   kurs-equipped                |         1
   kurogane                     |         1
   kurmanbek                    |         1
   kurile                       |         1
   kurigram                     |         1
   kurgan                       |         1
   kurdish-dominated            |         1
   kurdish-controlled           |         1
   kurdification                |         1
   kurdic                       |         1
   kurchatov                    |         1
   kurban                       |         1
   kura-araxes                  |         1
   kupujemprodajem              |         1
   kupa                         |         1
   kunzru                       |         1
   kunz                         |         1
   kunwu                        |         1
   kununurra                    |         1
   kunschak                     |         1
   kuns                         |         1
   kunowsky                     |         1
   kundt                        |         1
   kume                         |         1
   kumbha                       |         1
   kumars                       |         1
   kumar                        |         1
   kumamoto                     |         1
   kumail                       |         1
   kulyabin                     |         1
   kulturinstitute              |         1
   kulikovo                     |         1
   kuleshov                     |         1
   kulak                        |         1
   kukuzel                      |         1
   kukulkn                      |         1
   kukeri                       |         1
   kuitca                       |         1
   kuindzhi                     |         1
   kui                          |         1
   kuhu                         |         1
   kufa                         |         1
   kudrin                       |         1
   kudos                        |         1
   kuchum                       |         1
   kuchipudi                    |         1
   kuching                      |         1
   kuchik                       |         1
   kucera                       |         1
   kubebe                       |         1
   kubar                        |         1
   kub                          |         1
   kuan                         |         1
   ku-pi-ri-jo                  |         1
   ku-band                      |         1
   ktahya                       |         1
   kt4dm                        |         1
   kszenlti                     |         1
   ksudach                      |         1
   kstar                        |         1
   ksrkss                       |         1
   ksk                          |         1
   kshitij                      |         1
   kse                          |         1
   ksbs                         |         1
   krzysztof                    |         1
   krysha                       |         1
   krypts                       |         1
   kryptai                      |         1
   kruskal                      |         1
   krusenstern                  |         1
   kruse                        |         1
   krupp                        |         1
   krupinin                     |         1
   kruparani                    |         1
   krum                         |         1
   krtsanisi                    |         1
   krstnik                      |         1
   krsmanovis                   |         1
   krshegy                      |         1
   krperschaftsdatei            |         1
   krpers                       |         1
   krot                         |         1
   kroon                        |         1
   kronen                       |         1
   kronecker                    |         1
   kron                         |         1
   krolu                        |         1
   kroli                        |         1
   kroh                         |         1
   kroaz                        |         1
   krnika                       |         1
   krn                          |         1
   krma                         |         1
   krlea                        |         1
   krl                          |         1
   krkpnar                      |         1
   krkkale                      |         1
   krki                         |         1
   krivoshchekovskaya           |         1
   krivinai                     |         1
   kritala                      |         1
   kristl                       |         1
   kristf                       |         1
   kristallnacht                |         1
   kriss                        |         1
   krishi                       |         1
   kris                         |         1
   krinar                       |         1
   krim                         |         1
   krien                        |         1
   krieghoff                    |         1
   krieger                      |         1
   krieg                        |         1
   kriaj                        |         1
   kria                         |         1
   krgerl                       |         1
   krewe                        |         1
   kreslin                      |         1
   kreslavsky                   |         1
   kremtai                      |         1
   krems                        |         1
   krek                         |         1
   kreise                       |         1
   krehir                       |         1
   kreep-containing             |         1
   kreep-basalts                |         1
   kree                         |         1
   krdni                        |         1
   krbava                       |         1
   kray                         |         1
   kravos                       |         1
   kravanja                     |         1
   krausz                       |         1
   kraus                        |         1
   kraun                        |         1
   krathong                     |         1
   krasznahorkai                |         1
   krastevich                   |         1
   krapina-zagorje              |         1
   krapfen                      |         1
   kranz                        |         1
   kranj                        |         1
   kramskoi                     |         1
   kramnik                      |         1
   kraljevo                     |         1
   kraljevi                     |         1
   kral                         |         1
   kraftwerk                    |         1
   krafla                       |         1
   krachowila                   |         1
   kracauer                     |         1
   kqsq                         |         1
   kpvisel                      |         1
   kpv                          |         1
   kptcl                        |         1
   kpg                          |         1
   kpes                         |         1
   kozyrev                      |         1
   kozunak                      |         1
   kozou                        |         1
   kozole                       |         1
   kozolci                      |         1
   kozlov                       |         1
   kozloduy                     |         1
   kozjak                       |         1
   kozhikode                    |         1
   kozak                        |         1
   kozailidov                   |         1
   kozai                        |         1
   koyunolu                     |         1
   kox                          |         1
   kowsar                       |         1
   kovts                        |         1
   kovind                       |         1
   kovalsky                     |         1
   kovalevskaya                 |         1
   kovai                        |         1
   kovach                       |         1
   kouyunjik                    |         1
   koutnjak                     |         1
   kouphovouno                  |         1
   kouoro                       |         1
   koubes                       |         1
   kotunica                     |         1
   kotosh                       |         1
   koti                         |         1
   kotelnikov                   |         1
   kot                          |         1
   kosztolnyi                   |         1
   kosti                        |         1
   kostenets                    |         1
   kostas                       |         1
   kostaki                      |         1
   kosovorotka                  |         1
   kosovo-albanian              |         1
   kosovel                      |         1
   kosovars                     |         1
   kosovar                      |         1
   kosmoseagentuur              |         1
   kosmoreporter                |         1
   kosmologische                |         1
   kosmogonia                   |         1
   kosmiczna                    |         1
   kosmick                      |         1
   kosma                        |         1
   kosi                         |         1
   korzun                       |         1
   korval                       |         1
   kortewegde                   |         1
   korps                        |         1
   korol                        |         1
   korni                        |         1
   korn                         |         1
   korinthia                    |         1
   koribanof                    |         1
   korgano                      |         1
   korf                         |         1
   koreich                      |         1
   kordc                        |         1
   korangi                      |         1
   korada                       |         1
   kora                         |         1
   koprivnica-krievci           |         1
   koprivnica                   |         1
   koppny                       |         1
   kopp                         |         1
   koplenig                     |         1
   kopa                         |         1
   koovis                       |         1
   konys                        |         1
   konvent                      |         1
   konus                        |         1
   kontinuierlich               |         1
   kontinental                  |         1
   kontides                     |         1
   konstitution                 |         1
   konstanz                     |         1
   konstantns                   |         1
   konstantinovich              |         1
